artist_name,acousticness,danceability,duration_ms,energy,instrumentalness,liveness,loudness,speechiness,tempo,valence,popularity,key,mode,characteristic_id,artist_id,genre_id
Raul Seixas,0.377,0.433,219972,0.807,0.001,0.230,-4.360,0.102,133.827,0.617,39.625,7,1,200941,23320,
Raul Shaw Moreno,0.787,0.604,160273,0.511,0.022,0.316,-10.923,0.084,100.533,0.732,1.857,5,0,200942,23321,
Raul Siberdi,0.000,0.632,241816,0.801,0.077,0.209,-6.395,0.031,128.013,0.038,1.000,1,0,200943,23322,
Raulin Rodriguez,0.406,0.745,323785,0.481,0.003,0.146,-9.158,0.048,124.617,0.904,45.500,9,0,200944,23323,
Raulin Rosendo,0.566,0.803,332493,0.703,0.001,0.071,-7.580,0.037,99.426,0.875,49.000,7,1,200945,23324,
Raury,0.713,0.637,208000,0.503,0.000,0.109,-6.927,0.336,81.061,0.661,60.000,1,1,200946,23325,
Rauschangriff,0.000,0.435,136398,0.896,0.658,0.198,-5.614,0.094,129.451,0.633,0.000,7,1,200947,23326,
Rautu,0.010,0.558,132928,0.649,0.006,0.211,-8.294,0.028,129.999,0.280,0.000,2,1,200948,23327,
Rauw Alejandro,0.148,0.786,249751,0.690,0.000,0.137,-3.947,0.107,118.591,0.601,59.533,2,1,200949,23328,
Ravage! Ravage!,0.044,0.594,224787,0.730,0.161,0.228,-7.116,0.133,134.816,0.503,0.000,1,1,200950,23329,
Rave & Crave,0.095,0.864,218710,0.727,0.841,0.144,-5.407,0.118,124.003,0.165,14.000,8,1,200951,23330,
Rave Channel,0.005,0.739,322560,0.923,0.080,0.057,-2.948,0.067,125.000,0.768,5.000,10,0,200952,23331,
Raven,0.060,0.394,220814,0.778,0.480,0.279,-9.609,0.137,115.023,0.357,38.500,9,1,200953,23332,
Raven & Kreyn,0.021,0.654,158571,0.956,0.000,0.130,-2.941,0.052,125.999,0.325,0.000,9,0,200954,23333,
Raven Kaafarani,0.104,0.821,338000,0.651,0.499,0.349,-9.420,0.060,120.004,0.459,0.000,0,1,200955,23334,
Raven-Symon¿,0.258,0.677,162547,0.529,0.000,0.133,-7.414,0.047,109.933,0.320,46.000,2,1,200956,23335,
Ravi,0.901,0.696,208892,0.285,0.203,0.190,-12.257,0.227,134.755,0.642,1.429,6,1,200957,23336,
Ravi Shankar,0.743,0.436,669010,0.398,0.454,0.303,-16.446,0.129,121.840,0.408,20.355,1,1,200958,23337,
Ravin,0.002,0.784,243787,0.596,0.001,0.056,-6.736,0.042,126.012,0.353,15.000,1,1,200959,23338,
Raw Silk,0.316,0.770,399290,0.679,0.003,0.238,-5.953,0.059,114.835,0.748,33.000,0,1,200960,23339,
Ray Anthony,0.831,0.373,171901,0.247,0.760,0.174,-13.248,0.056,107.647,0.361,10.944,10,1,200961,23340,
Ray Anthony & His Orchestra,0.878,0.311,225722,0.333,0.630,0.210,-9.145,0.040,117.823,0.305,7.833,0,1,200962,23341,
Ray Barreto,0.825,0.809,150814,0.403,0.470,0.105,-15.331,0.087,140.699,0.830,26.000,7,1,200963,23342,
Ray Barretto,0.550,0.635,255740,0.604,0.095,0.110,-9.359,0.057,112.013,0.854,29.135,7,0,200964,23343,
Ray Bauduc,0.992,0.621,168760,0.464,0.734,0.103,-11.300,0.143,199.693,0.927,21.000,7,1,200965,23344,
Ray Blair,0.523,0.721,658333,0.511,0.900,0.142,-12.223,0.033,125.829,0.882,39.000,1,1,200966,23345,
Ray Bolger,0.816,0.551,112153,0.353,0.006,0.362,-17.123,0.190,114.291,0.713,16.920,8,1,200967,23346,
Ray Brown,0.813,0.461,315487,0.125,0.512,0.113,-24.915,0.060,100.303,0.359,19.250,5,1,200968,23347,
Ray Brown Trio,0.299,0.515,344213,0.104,0.866,0.128,-24.141,0.042,107.991,0.187,38.000,0,0,200969,23348,
Ray Bryant,0.844,0.538,317013,0.218,0.872,0.109,-16.045,0.034,84.922,0.411,25.000,7,1,200970,23349,
Ray Burner,0.084,0.630,192952,0.815,0.683,0.541,-8.454,0.027,91.986,0.682,0.000,9,0,200971,23350,
Ray Charles,0.745,0.512,200985,0.315,0.091,0.226,-13.126,0.074,116.812,0.565,27.503,5,1,200972,23351,
Ray Charles Singers,0.771,0.500,172580,0.552,0.000,0.125,-7.879,0.063,132.349,0.674,31.250,0,0,200973,23352,
Ray Conniff,0.748,0.490,169289,0.415,0.331,0.243,-13.558,0.036,117.216,0.612,28.862,3,1,200974,23353,
Ray Conniff and Don Cherry,0.883,0.566,145600,0.416,0.004,0.144,-10.495,0.037,138.200,0.855,10.000,10,1,200975,23354,
Ray De La Paz,0.665,0.502,439080,0.826,0.000,0.294,-4.690,0.049,96.951,0.855,40.000,10,1,200976,23355,
Ray Eberle,0.810,0.386,172812,0.276,0.081,0.237,-15.441,0.041,123.501,0.534,21.818,3,1,200977,23356,
Ray Ellis & His Orchestra,0.801,0.252,243090,0.340,0.000,0.365,-13.010,0.041,101.051,0.313,20.500,9,1,200978,23357,
Ray Ellis & His Orchestra & Chorus,0.728,0.604,171480,0.424,0.000,0.107,-11.866,0.046,114.871,0.764,0.000,7,1,200979,23358,
Ray Ellis And His Orchestra,0.767,0.316,215627,0.176,0.002,0.210,-13.403,0.037,115.259,0.224,18.400,8,1,200980,23359,
Ray Ennis,0.392,0.469,173040,0.835,0.000,0.082,-7.645,0.039,85.995,0.676,0.000,0,1,200981,23360,
Ray Evans,0.976,0.135,219533,0.098,0.112,0.108,-24.907,0.032,85.077,0.109,19.000,0,1,200982,23361,
Ray Harris,0.424,0.568,138813,0.912,0.002,0.396,-6.730,0.136,96.826,0.941,27.000,6,0,200983,23362,
Ray Heatherton,0.931,0.640,201933,0.337,0.000,0.482,-14.062,0.416,112.212,0.588,15.000,0,1,200984,23363,
Ray J,0.170,0.484,236609,0.707,0.000,0.355,-6.015,0.304,119.144,0.639,59.667,5,1,200985,23364,
Ray Kane,0.830,0.369,162960,0.352,0.827,0.104,-14.370,0.041,112.623,0.126,34.000,3,1,200986,23365,
Ray Kennedy,0.420,0.481,135600,0.837,0.000,0.435,-4.795,0.058,81.150,0.572,27.000,10,0,200987,23366,
Ray LaMontagne,0.378,0.508,272107,0.365,0.001,0.170,-11.674,0.033,135.205,0.451,57.133,7,1,200988,23367,
Ray Linn,0.934,0.471,194467,0.307,0.000,0.212,-13.688,0.077,137.398,0.556,4.000,1,1,200989,23368,
Ray Lynch,0.759,0.311,301596,0.153,0.564,0.111,-20.163,0.042,106.256,0.169,29.467,4,1,200990,23369,
Ray Manzarek,0.005,0.596,301987,0.921,0.000,0.536,-2.500,0.074,139.969,0.232,55.000,11,0,200991,23370,
Ray Middleton,0.966,0.462,192413,0.215,0.000,0.200,-12.315,0.109,118.495,0.504,18.375,9,1,200992,23371,
Ray Nance,0.488,0.455,287822,0.405,0.420,0.834,-18.103,0.201,107.777,0.418,0.500,5,1,200993,23372,
Ray Noble,0.965,0.324,144040,0.309,0.000,0.647,-10.049,0.028,88.130,0.337,0.000,0,1,200994,23373,
Ray Noble & His Orchestra,0.916,0.331,376360,0.254,0.001,0.730,-16.276,0.071,73.585,0.257,16.000,5,1,200995,23374,
Ray Parker Jr.,0.100,0.776,261347,0.582,0.246,0.279,-12.719,0.038,110.974,0.780,43.400,6,1,200996,23375,
Ray Price,0.789,0.456,176455,0.355,0.018,0.182,-11.619,0.036,106.978,0.594,17.704,10,1,200997,23376,
Ray Reverse,0.001,0.364,318373,0.992,0.935,0.092,-7.496,0.092,138.752,0.042,14.000,7,1,200998,23377,
Ray Sinatra,0.952,0.246,186665,0.334,0.008,0.219,-10.424,0.035,90.160,0.249,1.109,8,1,200999,23378,
Ray Smith,0.721,0.504,145093,0.935,0.000,0.067,-4.082,0.120,87.647,0.932,30.000,9,0,201000,23379,
Ray Stevens,0.382,0.607,206416,0.540,0.000,0.435,-12.448,0.112,112.449,0.719,33.444,0,1,201001,23380,
Ray Ventura,0.986,0.755,201107,0.198,0.000,0.058,-15.347,0.116,136.467,0.766,0.000,5,1,201002,23381,
Ray Walston,0.911,0.512,156800,0.206,0.000,0.235,-15.187,0.055,123.850,0.436,8.000,1,0,201003,23382,
Ray Wylie Hubbard,0.422,0.591,361233,0.579,0.000,0.355,-8.142,0.041,91.497,0.685,46.500,7,1,201004,23383,
"Ray, Goodman & Brown",0.463,0.551,252800,0.447,0.000,0.189,-12.293,0.040,84.175,0.558,37.000,9,1,201005,23384,
Raya Beam,0.010,0.658,425433,0.959,0.541,0.055,-7.126,0.107,127.042,0.650,0.000,11,0,201006,23385,
Rayan Myers,0.005,0.583,370647,0.873,0.761,0.072,-6.858,0.032,127.994,0.263,10.000,4,0,201007,23386,
Raybo,0.001,0.787,399375,0.798,0.201,0.121,-4.051,0.172,128.015,0.323,0.000,0,1,201008,23387,
Rayden,0.004,0.656,337520,0.900,0.757,0.082,-6.628,0.049,128.015,0.746,10.000,7,0,201009,23388,
Raydio,0.270,0.767,276283,0.577,0.343,0.203,-10.190,0.053,119.709,0.769,39.200,2,1,201010,23389,
Rayito Colombiano,0.472,0.719,193291,0.532,0.000,0.145,-6.531,0.053,103.967,0.880,56.400,5,0,201011,23390,
Rayland Baxter,0.420,0.485,250474,0.582,0.000,0.111,-8.286,0.040,120.939,0.477,56.750,7,1,201012,23391,
Raylene,0.092,0.624,408480,0.473,0.000,0.129,-11.115,0.204,169.892,0.460,45.000,1,1,201013,23392,
Raymix,0.168,0.746,259240,0.585,0.000,0.264,-5.937,0.049,182.018,0.948,68.000,4,0,201014,23393,
Raymond Devos,0.373,0.641,902840,0.182,0.000,0.140,-20.104,0.950,87.952,0.380,4.000,11,0,201015,23394,
Raymond Johnston,0.958,0.166,177353,0.035,0.005,0.145,-31.940,0.047,112.685,0.132,45.750,5,1,201016,23395,
Raymond Lefèvre,0.879,0.396,93080,0.316,0.927,0.408,-10.553,0.035,132.850,0.522,0.000,0,0,201017,23396,
Raymond Leppard,0.874,0.349,235530,0.191,0.590,0.222,-18.459,0.044,127.217,0.349,23.917,2,1,201018,23397,
Raymond Nilsson,0.902,0.298,220400,0.097,0.001,0.573,-24.008,0.051,131.991,0.039,22.000,4,0,201019,23398,
Raymond Ramnarine,0.041,0.890,193778,0.904,0.000,0.204,-3.654,0.201,135.087,0.920,6.000,1,1,201020,23399,
Raymond Scott,0.899,0.645,157776,0.395,0.809,0.252,-12.926,0.100,127.766,0.792,11.286,5,1,201021,23400,
Raymond Scott & His Orchestra,0.668,0.409,169707,0.510,0.543,0.146,-6.639,0.033,167.980,0.772,12.000,0,0,201022,23401,
Raymond Thorne,0.774,0.529,138880,0.304,0.000,0.084,-12.924,0.055,87.455,0.598,26.000,7,1,201023,23402,
Raymundo Rodrigeuz,0.000,0.801,381732,0.982,0.521,0.097,-7.351,0.058,127.012,0.366,0.000,0,1,201024,23403,
Rayvon,0.198,0.766,220034,0.743,0.000,0.090,-7.036,0.164,127.178,0.845,52.333,6,1,201025,23404,
Razia Begum,0.978,0.671,175016,0.361,0.049,0.201,-10.483,0.081,108.148,0.768,0.000,1,1,201026,23405,
Razor,0.034,0.241,193733,0.978,0.891,0.115,-3.172,0.151,79.693,0.292,28.000,8,0,201027,23406,
Raça Negra,0.198,0.707,211000,0.614,0.000,0.177,-9.377,0.058,156.473,0.957,67.000,7,0,201028,23407,
Raúl Abril con su Orquesta,0.824,0.572,160525,0.642,0.003,0.667,-10.077,0.040,106.501,0.614,0.000,2,0,201029,23408,
Raúl Abril y Su Orquesta,0.717,0.544,162712,0.691,0.000,0.181,-6.814,0.146,134.280,0.851,0.000,7,1,201030,23409,
Raúl Abríl,0.652,0.474,162561,0.563,0.064,0.520,-10.822,0.062,122.702,0.722,0.000,7,1,201031,23410,
Raúl Esparza,0.525,0.585,173827,0.413,0.000,0.062,-8.886,0.255,142.445,0.524,28.000,0,1,201032,23411,
Re-Mind,0.150,0.564,153258,0.984,0.000,0.867,-3.773,0.573,155.039,0.317,0.000,6,0,201033,23412,
Re-Style,0.009,0.401,330000,0.984,0.553,0.091,-3.213,0.050,170.029,0.466,15.000,6,1,201034,23413,
Re-Tide,0.001,0.896,430281,0.767,0.900,0.062,-6.190,0.213,119.001,0.746,11.000,5,1,201035,23414,
Re:Locate,0.000,0.550,288124,0.879,0.785,0.392,-10.673,0.042,136.571,0.455,4.143,6,1,201036,23415,
ReFeel,0.002,0.488,135457,0.965,0.869,0.214,-5.671,0.053,131.986,0.621,12.000,1,1,201037,23416,
ReMix Kings,0.008,0.673,282480,0.805,0.001,0.056,-5.702,0.039,130.007,0.878,0.000,10,1,201038,23417,
ReOrder,0.005,0.499,100764,0.962,0.732,0.301,-6.522,0.092,135.443,0.297,21.375,1,1,201039,23418,
ReSample,0.095,0.724,317119,0.691,0.673,0.231,-10.745,0.058,121.847,0.728,0.000,9,1,201040,23419,
Rea Garvey,0.000,0.454,57672,0.966,0.769,0.400,-8.202,0.060,132.852,0.569,10.000,5,1,201041,23420,
Reach,0.011,0.528,250855,0.807,0.003,0.291,-4.335,0.038,121.958,0.393,10.000,2,1,201042,23421,
Read Southall Band,0.541,0.674,197998,0.535,0.000,0.084,-8.025,0.037,124.951,0.127,60.000,0,1,201043,23422,
Reade Truth,0.001,0.810,412787,0.596,0.818,0.112,-11.700,0.065,116.997,0.124,0.000,4,0,201044,23423,
