genre_name,genre_id,characteristic_id
belgian pop,285,174674
belgian rock,286,174675
belgian singer-songwriter,287,174676
belgian techno,288,174677
belly dance,289,174678
belo horizonte indie,290,174679
bengali folk,291,174680
beninese pop,292,174681
bergen indie,293,174682
berlin minimal techno,294,174683
berlin school,295,174684
bhajan,296,174685
bhangra,297,174686
bible,298,174687
big band,299,174688
big beat,300,174689
big room,301,174690
binaural,302,174691
birmingham grime,303,174692
birmingham hip hop,304,174693
birmingham metal,305,174694
bitpop,306,174695
black 'n' roll,307,174696
black comedy,308,174697
black metal,309,174698
black punk,310,174699
black sludge,311,174700
black thrash,312,174701
blackened crust,313,174702
blackened deathcore,314,174703
blackgaze,315,174704
blasmusik,316,174705
bleep techno,317,174706
bluegrass,318,174707
bluegrass fiddle,319,174708
bluegrass gospel,320,174709
blues,321,174710
blues latinoamericano,322,174711
blues mexicano,323,174712
blues rock,324,174713
bmore,325,174714
bohemian baroque,326,174715
bolero,327,174716
bolero cubano,328,174717
bolero mexicano,329,174718
bomba y plena,330,174719
boogaloo,331,174720
boogie,332,174721
boogie-woogie,333,174722
boom bap,334,174723
bosnian electronic,335,174724
bossa nova,336,174725
bossa nova jazz,337,174726
boston folk,338,174727
boston hardcore,339,174728
boston hip hop,340,174729
boston indie,341,174730
boston metal,342,174731
boston punk,343,174732
boston rock,344,174733
bounce,345,174734
bouncy house,346,174735
bouzouki,347,174736
bow pop,348,174737
boy band,349,174738
boy pop,350,174739
boy soprano,351,174740
brain waves,352,174741
braindance,353,174742
brass band,354,174743
brass ensemble,355,174744
brass quintet,356,174745
brazilian bass,357,174746
brazilian black metal,358,174747
brazilian boogie,359,174748
brazilian classical,360,174749
brazilian classical piano,361,174750
brazilian contemporary classical,362,174751
brazilian doom metal,363,174752
brazilian edm,364,174753
brazilian gospel,365,174754
brazilian grindcore,366,174755
brazilian groove metal,367,174756
brazilian hip hop,368,174757
brazilian indie,369,174758
brazilian jazz,370,174759
brazilian metal,371,174760
brazilian percussion,372,174761
brazilian punk,373,174762
brazilian reggae,374,174763
brazilian rock,375,174764
brazilian ska,376,174765
brazilian soul,377,174766
brazilian tech house,378,174767
brazilian techno,379,174768
brazilian thrash metal,380,174769
breakbeat,381,174770
breakcore,382,174771
breaks,383,174772
brighton indie,384,174773
brill building pop,385,174774
bristol electronic,386,174775
bristol indie,387,174776
brit funk,388,174777
british alternative rock,389,174778
british black metal,390,174779
british blues,391,174780
british brass band,392,174781
british children's music,393,174782
british choir,394,174783
british classical piano,395,174784
british comedy,396,174785
british contemporary classical,397,174786
british dance band,398,174787
british death metal,399,174788
british experimental,400,174789
british folk,401,174790
british grindcore,402,174791
british indie rock,403,174792
british industrial,404,174793
british invasion,405,174794
british jazz,406,174795
british modern classical,407,174796
british orchestra,408,174797
british post-rock,409,174798
british power metal,410,174799
british singer-songwriter,411,174800
british soul,412,174801
british soundtrack,413,174802
britpop,414,174803
broadway,415,174804
broken beat,416,174805
bronx hip hop,417,174806
brooklyn drill,418,174807
brooklyn indie,419,174808
brostep,420,174809
brutal death metal,421,174810
brutal deathcore,422,174811
bubble trance,423,174812
bubblegrunge,424,174813
bubblegum dance,425,174814
bubblegum pop,426,174815
buffalo ny indie,427,174816
buffalo ny metal,428,174817
bulgarian electronic,429,174818
bulgarian experimental,430,174819
bulgarian pop,431,174820
burmese traditional,432,174821
bush ballad,433,174822
c-pop,434,174823
c86,435,174824
cabaret,436,174825
cajun,437,174826
calgary indie,438,174827
cali rap,439,174828
calming instrumental,440,174829
calypso,441,174830
cambodian rock,442,174831
cambridge choir,443,174832
cambridgeshire indie,444,174833
canadian americana,445,174834
canadian blues,446,174835
canadian ccm,447,174836
canadian celtic,448,174837
canadian children's music,449,174838
canadian choir,450,174839
canadian classical,451,174840
canadian classical piano,452,174841
canadian comedy,453,174842
canadian contemporary country,454,174843
canadian contemporary r&b,455,174844
canadian country,456,174845
canadian electronic,457,174846
canadian electropop,458,174847
canadian experimental,459,174848
canadian folk,460,174849
canadian hardcore,461,174850
canadian hip hop,462,174851
canadian indie,463,174852
canadian indie folk,464,174853
canadian indigenous,465,174854
canadian latin,466,174855
canadian metal,467,174856
canadian modern jazz,468,174857
canadian pop,469,174858
canadian pop punk,470,174859
canadian post-hardcore,471,174860
canadian post-rock,472,174861
canadian psychedelic,473,174862
canadian punk,474,174863
canadian rock,475,174864
canadian rockabilly,476,174865
canadian singer-songwriter,477,174866
canadian soundtrack,478,174867
cancion infantil mexicana,479,174868
cancion melodica,480,174869
candomble,481,174870
candy pop,482,174871
cantaditas,483,174872
cantautor,484,174873
cante flamenco,485,174874
canterbury scene,486,174875
canto popular uruguayo,487,174876
cantopop,488,174877
canzone d'autore,489,174878
canzone genovese,490,174879
canzone napoletana,491,174880
cape breton folk,492,174881
cape town indie,493,174882
cape verdean folk,494,174883
caracas indie,495,174884
carnatic,496,174885
carnatic instrumental,497,174886
carnatic vocal,498,174887
carnaval,499,174888
cartoon,500,174889
cathedral choir,501,174890
caucasian classical,502,174891
caucasian classical piano,503,174892
ccm,504,174893
cedm,505,174894
cello,506,174895
celtic,507,174896
celtic harp,508,174897
celtic metal,509,174898
celtic punk,510,174899
celtic rock,511,174900
cha-cha-cha,512,174901
chakra,513,174902
chalga,514,174903
chamame,515,174904
chamber choir,516,174905
chamber ensemble,517,174906
chamber folk,518,174907
chamber orchestra,519,174908
chamber pop,520,174909
chamber psych,521,174910
champeta,522,174911
channel islands indie,523,174912
channel pop,524,174913
chanson,525,174914
chanson paillarde,526,174915
chaotic hardcore,527,174916
charanga,528,174917
charango,529,174918
charlotte nc indie,530,174919
charlottesville indie,531,174920
chicago blues,532,174921
chicago drill,533,174922
chicago hardcore,534,174923
chicago house,535,174924
chicago indie,536,174925
chicago pop punk,537,174926
chicago punk,538,174927
chicago rap,539,174928
chicago soul,540,174929
chicano punk,541,174930
chicano rap,542,174931
chicha,543,174932
chihuahua indie,544,174933
children's choir,545,174934
children's folk,546,174935
children's music,547,174936
children's story,548,174937
chilean hardcore,549,174938
chilean indie,550,174939
chilean rock,551,174940
chilena,552,174941
chill groove,553,174942
chill guitar,554,174943
chill lounge,555,174944
chill pop,556,174945
chill r&b,557,174946
chillhop,558,174947
chillstep,559,174948
chillwave,560,174949
chinese audiophile,561,174950
chinese classical,562,174951
chinese classical performance,563,174952
chinese classical piano,564,174953
chinese electropop,565,174954
chinese hip hop,566,174955
chinese idol pop,567,174956
chinese indie,568,174957
chinese indie rock,569,174958
chinese instrumental,570,174959
chinese r&b,571,174960
chinese soundtrack,572,174961
chinese traditional,573,174962
chip hop,574,174963
chiptune,575,174964
chopped and screwed,576,174965
choral,577,174966
choro,578,174967
christchurch indie,579,174968
christelijk,580,174969
christian a cappella,581,174970
christian alternative rock,582,174971
christian hard rock,583,174972
christian hardcore,584,174973
christian hip hop,585,174974
christian indie,586,174975
christian metal,587,174976
christian metalcore,588,174977
christian music,589,174978
christian pop,590,174979
christian power metal,591,174980
christian punk,592,174981
christian relaxative,593,174982
christian rock,594,174983
christian trap,595,174984
christian uplift,596,174985
christmas instrumental,597,174986
christmas product,598,174987
chunchaca,599,174988
chutney,600,174989
cincinnati rap,601,174990
cinematic post-rock,602,174991
circuit,603,174992
circus,604,174993
city pop,605,174994
classic afrobeat,606,174995
classic arab pop,607,174996
classic australian country,608,174997
classic belgian pop,609,174998
classic bhangra,610,174999
classic bollywood,611,175000
classic canadian rock,612,175001
classic cantopop,613,175002
classic city pop,614,175003
classic colombian pop,615,175004
classic country pop,616,175005
classic czech pop,617,175006
classic danish pop,618,175007
classic dubstep,619,175008
classic eurovision,620,175009
classic finnish pop,621,175010
classic french pop,622,175011
